"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","767","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","4.135080","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","6.701825","0","5"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","6.760395","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","1.384370","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.149338","0","3"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","2","2","1","1.137098","0","3"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","2","2","1","1.350373","0","3"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","21","34","1","1","29.946875","0","628"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","21","44","1","1","34.828438","0","1026"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","21","34","1","1","27.182892","0","628"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","1.469665","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","1","1","25.772552","0","494"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","15","1","1","12.335686","0","121"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","1.604786","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.551814","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","4","1","1","1.919467","0","13"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","150","1","1","126.544449","0","5144"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","15","1","1","12.555784","0","53"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","1.134355","0","3"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","12","1","1","9.537040","0","58"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","30","1","1","24.760748","0","278"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","21","15","1","1","12.249832","0","67"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","75","1","1","72.589668","0","812"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","75","1","1","73.067184","0","1125"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","30","1","1","26.125092","0","220"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","1.477175","0","3"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","15","1","1","15.147581","0","61"
"/OculusVR/Materials/touchController_mat.touchController_mat","21","30","1","1","26.947678","0","235"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","75","2","1","71.089249","0","1207"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","1.257603","0","3"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","2.511701","0","11"
"/ControlRig/M_Manip.M_Manip","21","4","1","1","2.225562","0","13"
